,focus,sentense_name,sentense_id
0,BR,青い海,SE01_1
1,F1,＃名古屋の紅葉,SE02_1
2,LB,お姉さん,SE08_1
3,BR,青い屋根になる,SE06_1
4,F3,うまい演技を＃見た,SE07_1
5,F3,青い＃海,SE01_1
6,LB,兄,SE09_1
7,BR,うまい演技,SE05_1
8,F3,青い＃海2,SE01_2
9,BR,テレビがついた,SE04_1
10,BR,うまい演技2,SE05_2
11,F1,＃青い海,SE01_1
12,BR,猫を撫でる,SE03_1
13,RB,猫,SE08_1
14,BR,名古屋の紅葉,SE02_1
15,F2,青い＃屋根になる,SE06_1
16,F1,＃うまい演技,SE05_1
17,BR,名古屋の紅葉2,SE02_2
18,BR,テレビがついた2,SE04_2
19,F2,うまい＃演技を見た,SE07_1
20,RB,ゲーム,SE09_1
21,F3,名古屋の＃紅葉,SE02_1
22,F3,猫を＃撫でる,SE03_1
23,F1,＃うまい演技を見た,SE07_1
24,F3,青い屋根に＃なる,SE06_1
25,F3,テレビが＃ついた,SE04_1
26,RB,猫2,SE08_2
27,F3,青い屋根に＃なる2,SE06_2
28,F3,うまい＃演技,SE05_1
29,F1,＃猫を撫でる,SE03_1
30,F3,名古屋の＃紅葉2,SE02_2
31,F3,うまい＃演技2,SE05_2
32,F1,＃テレビがついた,SE04_1
33,LB,お姉さん2,SE08_2
34,BR,うまい演技を見た,SE07_1
35,F1,＃テレビがついた2,SE04_2
36,F3,猫を＃撫でる2,SE03_2
37,F1,＃青い屋根になる,SE06_1
38,F3,テレビが＃ついた2,SE04_2
39,RB,ゲーム2,SE09_2
40,F1,＃猫を撫でる2,SE03_2
41,BR,青い屋根になる2,SE06_2
42,BR,うまい演技を見た2,SE07_2
43,F1,＃うまい演技2,SE05_2
44,BR,猫を撫でる2,SE03_2
45,F1,＃うまい演技を見た2,SE07_2
46,F1,＃青い屋根になる2,SE06_2
47,BR,青い海2,SE01_2
48,F2,うまい＃演技を見た2,SE07_2
49,LB,兄2,SE09_2
50,F3,うまい演技を＃見た2,SE07_2
51,F2,青い＃屋根になる2,SE06_2
52,F1,＃青い海2,SE01_2
53,F1,＃名古屋の紅葉2,SE02_2
